sym,spread,spread_sd,slip,costo,prof_ask,n_ok,qv24,rank
ARBUSDT,0.10775865197177284,8.210869992558576e-05,0.21025696015624096,0.41025696015624097,348738.134495,2,4710801.35091,76
ZAMAUSDT,0.03656976170176224,1.891294678053924e-05,0.49484754240287643,0.6948475424028764,181974.76548,2,4617953.13881,77
GPSUSDT,0.10582013544417011,7.918109561762773e-05,0.7464996319110073,0.9464996319110073,88606.0122695,2,4569942.174386,78
FIDAUSDT,0.10048989296291938,0.07103030108168291,0.9429521927745654,1.1429521927745654,80493.160737,2,4384594.270119,79
CATIUSDT,0.08863213420718956,0.04172121866510159,1.2558628253270587,1.4558628253270587,36660.7298485,2,4228862.165282,80
EULUSDT,0.07064641469444648,0.0,0.6143049617853946,0.8143049617853946,99318.01141,2,4043814.93621,81
INTCBUSDT,0.02226427724351001,3.5051144199298537e-06,0.13124419803380305,0.33124419803380306,217581.57854000002,2,3802455.11612,82
MORPHOUSDT,0.0393159032828736,0.0,0.38767480017903866,0.5876748001790386,308664.895655,2,3696158.56878,83
ICPUSDT,0.041657987919178914,0.0,0.19460696466749305,0.39460696466749307,276208.167,2,3655829.29435,84
LDOUSDT,0.041172972403443434,0.019412676857926577,0.2866179903696975,0.48661799036969744,77301.59382149999,2,3645193.996757,85
RENDERUSDT,0.09822116514884344,0.046200783356027494,0.21282932549670508,0.4128293254967051,398877.140695,2,3595941.82977,86
SHIBUSDT,0.18621990073473454,0.0002452092264458199,0.18621990073472983,0.38621990073472984,487256.53148829,2,3577254.56107012,87
NOMUSDT,0.6269592476489044,0.0,0.9690862792525068,1.1690862792525067,131855.62707,2,3411606.74899,88
CVXUSDT,0.08107204386499478,0.0005576968818638864,0.7111084593427963,0.9111084593427963,46014.4277865,2,3384882.355975,89
JUPUSDT,0.06817665406621712,0.0321485204889678,0.2514384319496854,0.4514384319496854,149985.76024,2,3321856.28811,90
ETHFIUSDT,0.017389792717866847,4.276650835574577e-06,0.4155189779759316,0.6155189779759316,203946.955465,2,3307095.52975,91
WIFUSDT,0.04714757452014946,1.571823181485941e-05,0.22304006941863963,0.42304006941863964,89129.676118,2,3152017.030047,92
CHIPUSDT,0.07098466194778444,0.02026205734827044,0.28713774627840416,0.4871377462784041,175416.965365,2,3094804.45537,93
SPKUSDT,0.052303045906304316,0.06655507335513289,0.6996120096150193,0.8996120096150193,71233.96286500001,2,2993601.633045,94
QQQBUSDT,0.0013910430803845907,1.3682521052347394e-07,0.07528855147668212,0.27528855147668213,293752.91716,2,2977535.86927,95
HOMEUSDT,0.2418704998570393,0.11414138211037615,0.5246593465963734,0.7246593465963733,255069.67290499998,2,2877217.82423,96
PLUMEUSDT,0.07168459702272872,3.633596033955434e-05,0.4040165783083083,0.6040165783083082,197745.328445,2,2804462.50356,97
ORDIUSDT,0.03499086360255074,0.01649228599293449,0.30820281679074246,0.5082028167907424,82694.48331499999,2,2767251.33816,98
KITEUSDT,0.07836991798950677,4.342938905311762e-05,0.5935505625436932,0.7935505625436932,524789.0151150001,2,2655998.39282,99
VETUSDT,0.04581551645529287,4.9475354870394744e-06,0.9886661865962265,1.1886661865962265,35828.4472766,2,2631443.9776756,100
NILUSDT,0.05648060291039915,0.015927474467242266,0.6352166077940757,0.8352166077940757,59030.2358835,2,2597923.636955,101
XUSDUSDT,0.009996501224570298,0.0,0.017959738942086023,0.21795973894208603,1255915.0444,2,2594143.222,102
BONKUSDT,0.32573376304725904,0.00075025587201674,0.4689753786822515,0.6689753786822514,337491.813543105,2,2566815.866153,103
PEOPLEUSDT,0.12610345492456934,0.00011244465083001759,0.46071460113089047,0.6607146011308904,160342.20798500002,2,2564645.577595,104
FLOKIUSDT,0.05550416661133451,0.026184274970884665,0.18920139673408443,0.38920139673408444,142709.848388095,2,2560039.70468285,105
DEXEUSDT,0.05238345042433961,1.9403191740542033e-05,0.31162276743249007,0.51162276743249,286602.21444999997,2,2545382.90837,106
DJTBUSDT,0.21074815595363092,0.0,0.7571762802843995,0.9571762802843995,188708.631,2,2499396.601,107
KAITOUSDT,0.047167339497067674,0.022239557988035976,0.22778575557304004,0.42778575557304005,113554.99204499999,2,2492046.40845,108
币安人生USDT,0.048384916976839845,0.01370756682546434,0.4470704176319451,0.6470704176319451,78933.30050499999,2,2399633.61135,109
ATOMUSDT,0.06611570247933156,0.0,0.22600256395702845,0.42600256395702846,116246.66548,2,2299179.68875,110
CRVUSDT,0.031471285571803675,1.4006961095504777e-05,0.2875237775693762,0.4875237775693762,184401.275855,2,2285534.22918,111
ETCUSDT,0.1269843317459593,0.00022804185925590168,0.23213665180198406,0.4321366518019841,376361.5714,2,2234793.9645,112
JSTUSDT,0.03475547062895827,0.007018079429535302,0.1312179734344776,0.3312179734344776,150232.454195,2,2231188.661721,113
BANKUSDT,0.27662517289074096,0.0,0.4576268044123588,0.6576268044123588,452613.96093,2,2177721.56873,114
ENSUSDT,0.16638946624556766,0.00019576559051623742,0.4603853935958857,0.6603853935958857,114960.48980000001,2,2153043.1472,115
GASUSDT,0.10697766328799986,0.050165661122099255,1.2017820783489563,1.4017820783489563,44024.439750000005,2,2152560.8301,116
TIAUSDT,0.041815736522067215,0.019693805713113355,0.2839468296542691,0.4839468296542691,194237.00208,2,2143355.437863,117
LSKUSDT,0.1411765331456863,0.06642592402235763,2.392034927178399,2.5920349271783993,103097.702055,2,2114001.39542,118
JTOUSDT,0.01867938493131003,2.4672307375220607e-05,0.47509260857376834,0.6750926085737683,151151.484995,2,2088798.49653,119
ALGOUSDT,0.11092637054514509,0.0001740139519132405,0.38050879027808904,0.580508790278089,191780.3994,2,2076280.0832,120
JASMYUSDT,0.20387444576180358,0.0005878124489656274,0.6979812673684804,0.8979812673684804,98968.53478,2,2034149.451833,121
STORJUSDT,0.5012531328320772,0.0,2.162194917302279,2.362194917302279,95713.35845,2,2017012.7978,122
EIGENUSDT,0.07359557617376127,0.034636524741112736,0.434401290887243,0.634401290887243,90561.27184249999,2,1985625.048396,123
HOLOUSDT,0.15117157974299167,0.0,0.6937847146007536,0.8937847146007536,95623.452215,2,1944925.64505,124
AUDIOUSDT,0.07604563837060199,4.089154872358607e-05,0.9218399459830551,1.121839945983055,66640.148155,2,1942127.055295,125
TSTUSDT,0.06333122864289017,2.836095073447731e-05,1.0265444427944304,1.2265444427944303,165178.09464899998,2,1940661.150803,126
ZENUSDT,0.047482479890157275,0.013439255665712429,0.3781313705656264,0.5781313705656264,88328.04921,2,1933110.39858,127
COTIUSDT,0.16266777802033555,9.355306135096188e-05,0.823303998446101,1.023303998446101,101235.38759,2,1926375.72658,128
WBTCUSDT,0.010421539188635953,0.014720385420861924,0.036627630056762506,0.23662763005676252,235155.1944265,2,1925022.715986,129
ATMUSDT,0.11117974397348805,0.052436528511464936,1.0161157900042017,1.2161157900042017,109499.177805,2,1910737.54723,130
MOVRUSDT,0.14275517487508937,0.0,0.8442936004797563,1.0442936004797563,90262.4003455,2,1890451.705451,131
BOMEUSDT,0.028429732088774015,0.01340867693192699,0.2659343761252986,0.4659343761252986,42252.69676605,2,1879471.6310633,132
HUMAUSDT,0.06223636045963936,0.029346616323995666,0.5920008405131849,0.7920008405131849,129385.01297499999,2,1874564.40703,133
TLMUSDT,0.13418317511331573,6.365772091811316e-05,0.7135476310436539,0.9135476310436539,67736.5687145,2,1859736.208699,134
AEROUSDT,0.01923631816870039,0.0,0.3902284762725028,0.5902284762725027,150645.70939499998,2,1840587.68641,135
TSLABUSDT,0.04455284669081059,0.01422443346561784,0.12770509505687366,0.3277050950568737,230706.257055,2,1801683.78891,136
CAKEUSDT,0.057553975899051306,4.684524505608102e-05,0.2411078206764783,0.4411078206764783,130736.09495500001,2,1779068.60963,137
GALAUSDT,0.055325051512368634,4.328710272334111e-05,0.21444856025438774,0.41444856025438775,121783.8291805,2,1773622.976293,138
USDEUSDT,0.010002500625155187,0.0,0.01000250062515029,0.2100025006251503,7080645.2624,2,1734741.4076,139
OPUSDT,0.10085728693898424,0.0,0.22856343750976005,0.42856343750976006,349673.253417,2,1713055.729566,140
KORUBUSDT,0.06614246171932328,0.031115661650642553,0.2561195627962587,0.4561195627962587,366959.37665,2,1706703.4487,141
PENDLEUSDT,0.05706135952067795,4.60467609252993e-05,0.2376155138578806,0.4376155138578806,359046.09815,2,1697563.3302,142
SXTUSDT,0.11716461628589721,0.0,1.1010894853035136,1.3010894853035135,109384.082713,2,1687832.327482,143
MUBARAKUSDT,0.07639444141713062,0.0361958624890874,0.5874080925851677,0.7874080925851676,59864.404743499996,2,1657442.826392,144
GOOGLBUSDT,0.0029157069187156124,1.8034079956065209e-07,0.026753958074837714,0.22675395807483772,237507.830995,2,1643195.42276,145
MRVLBUSDT,0.03519704057948012,0.016579929434728774,0.14864657975441342,0.34864657975441343,272470.566885,2,1627180.43884,146
NEIROUSDT,0.011185686560254565,9.732016007231023e-06,0.366921067685233,0.566921067685233,63788.16927765,2,1611429.46513319,147
ESPUSDT,0.027520616320275193,0.007797371222364247,0.548647387442841,0.748647387442841,137092.343745,2,1602340.75603,148
