hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,lado
vol_por_mov alto,18023,53.75353714697886,2.5035371469788643,9.298383282620987e-12,0.5785,51.91794353478566,1.8355936121932004,1.9959725895648006,2.309705715902666,49,49,0.4897959183673469,False,muere en la correccion (FDR q=0.05),corto
vol_z bajo,21632,53.115754437869825,1.8657544378698319,2.089078960639076e-08,0.456,51.51353881413129,1.6022156237385374,1.611331819901629,1.779667924176799,48,48,0.5,False,muere en la correccion (FDR q=0.05),corto
breadth alto,22533,52.88687702480806,1.636877024808065,4.574685697349334e-07,0.045,51.395499878275544,1.491377146532514,1.3799141436963538,1.5251730296941375,49,47,0.6382978723404256,False,muere en la correccion (FDR q=0.05),corto
taker_z bajo,21540,52.71123491179202,1.461234911792026,9.190884957449785e-06,0.438,51.327622998565246,1.3836119132267726,1.2018844280512724,1.365600186828587,48,48,0.5416666666666666,False,muere en la correccion (FDR q=0.05),corto
idio_168 bajo,22911,52.58609401597486,1.336094015974865,2.679619552335381e-05,0.56,51.59579547784347,0.9902985381313911,0.9309442522797795,1.1940323221618812,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.05),corto
efic_24 alto,22621,52.49104814110782,1.2410481411078251,9.663355169204007e-05,0.4345,51.42715364299308,1.0638944981147347,0.9879322766570695,1.1243824825314945,49,48,0.5833333333333334,False,muere en la correccion (FDR q=0.05),corto
disp bajo,22321,52.296044084046414,1.0460440840464216,0.0009045428468171341,0.516,51.31958540337538,0.9764586806710369,0.7039810080350719,0.9254813111501932,41,38,0.5263157894736842,False,muere en la correccion (FDR q=0.05),corto
breadth bajo,22432,52.18883737517832,0.9388373751783305,0.0025045091512345234,0.727,51.37155806834062,0.8172793068377047,0.6571837253655559,0.7996950125583098,46,41,0.5121951219512195,False,muere en la correccion (FDR q=0.05),corto
tam_trade_rel bajo,20362,52.00864355171397,0.7586435517139805,0.015434127653300945,0.4465,51.045714550550045,0.9629290011639284,0.3866570837746579,0.6180228231208247,48,48,0.5625,False,muere en la correccion (FDR q=0.05),corto
taker_z alto,21662,51.980426553411505,0.7304265534115117,0.016017979315481545,0.416,51.37232476067758,0.6081017927339261,0.49762754862351954,0.6410881888300466,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.05),corto
cuerpo alto,23289,51.76692859289793,0.5169285928979406,0.0580123443666884,0.502,51.26809617926376,0.49883241363417596,0.3081232492997188,0.43558725773730345,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
trades_rel bajo,22048,51.70990566037735,0.459905660377359,0.08699751655066844,0.5125,50.93616914729736,0.7737365130799887,0.19984873167327066,0.36408657373441855,48,48,0.5625,False,muere en la correccion (FDR q=0.05),corto
vol_rel bajo,20989,51.70803754347515,0.45803754347515735,0.09330379155219624,0.552,50.87582312097768,0.8322144224974721,0.15461832622445826,0.33596861653631294,48,48,0.5208333333333334,False,muere en la correccion (FDR q=0.05),corto
taker_24 bajo,21199,51.34676163969999,0.09676163969999863,0.3916637819575035,0.664,51.140040193457395,0.20672144624259658,-0.3446940356312851,-0.06638485353654744,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
mecha_sup alto,21649,51.175573929511756,-0.07442607048823646,0.5893534423737057,1.0,51.28597648318127,-0.11040255366951612,-0.33285000235770923,-0.1697602564698144,49,49,0.5306122448979592,False,no cruza el umbral,corto
efic_24 bajo,21663,51.082490883072516,-0.1675091169274765,0.6914773479160035,1.0,51.24667119271091,-0.1641803096383967,-0.46379957756394674,-0.275341130604275,49,49,0.5102040816326531,False,no cruza el umbral,corto
dd_ath alto,17975,50.993045897079284,-0.25695410292070875,0.7569977489230776,1.0,50.22496081075002,0.7680850863292648,-1.1603164959787051,-0.6220565149136448,49,49,0.4489795918367347,False,no cruza el umbral,corto
taker bajo,21365,50.69506201731805,-0.5549379826819418,0.9484102562312788,1.0,50.95384839949381,-0.25878638217575656,-0.9144617006998317,-0.7076495000943197,49,49,0.5510204081632653,False,no cruza el umbral,corto
edad_d alto,22145,50.67509595845563,-0.5749040415443645,0.957129857631747,1.0,51.42396870448417,-0.7488727460285389,-1.130558618155085,-0.7703019142454366,12,12,0.5,False,no cruza el umbral,corto
disp alto,22166,50.66317783993504,-0.5868221600649548,0.9603375073933706,1.0,51.34254084248523,-0.6793630025501898,-0.8047190598604459,-0.6603773584905568,39,32,0.4375,False,no cruza el umbral,corto
cuerpo bajo,22421,50.63110476785157,-0.6188952321484251,0.9686055411793264,1.0,51.322619745849416,-0.6915149779978478,-0.8996177648343533,-0.719805895039535,49,48,0.5,False,no cruza el umbral,corto
rank_turnover bajo,22808,50.600666432830586,-0.6493335671694069,0.9754961759702248,1.0,51.03843050809302,-0.4377640752624359,-1.4799174174174112,-0.9826923940877776,48,48,0.5625,False,no cruza el umbral,corto
mecha_inf alto,21781,50.502731738671315,-0.7472682613286779,0.9865567755335891,1.0,51.34420947959909,-0.8414777409277718,-1.0207280553995872,-0.8407514450866955,49,49,0.4897959183673469,False,no cruza el umbral,corto
tam_trade_rel alto,21677,50.18683397149052,-1.063166028509471,0.9991506218054869,1.0,51.30165743130854,-1.1148234598180196,-1.339622641509429,-1.1592896683258118,48,48,0.5416666666666666,False,no cruza el umbral,corto
trades_rel alto,21709,50.131281956792115,-1.1187180432078776,0.9995241893757958,1.0,51.23018543663041,-1.0989034798382917,-1.3722953904045099,-1.2059348763857258,48,48,0.5416666666666666,False,no cruza el umbral,corto
taker alto,21687,50.071471388389355,-1.1785286116106377,0.9997483554589808,1.0,51.141039024856326,-1.0695676364669708,-1.4266784452296761,-1.2639224057917176,49,49,0.5102040816326531,False,no cruza el umbral,corto
mecha_inf bajo,20855,50.050347638456,-1.1996523615439898,0.9997425745465602,1.0,51.095993706096465,-1.0456460676404618,-1.5002307953937972,-1.3100701619491488,49,49,0.5510204081632653,False,no cruza el umbral,corto
vol_z alto,21767,49.83690908255616,-1.4130909174438315,0.9999852784658101,1.0,51.30737535802611,-1.4704662754699456,-1.6997329710484337,-1.5299241197427378,48,48,0.5416666666666666,False,no cruza el umbral,corto
taker_24 alto,21374,49.79882099747356,-1.4511790025264304,0.9999893767776753,1.0,51.06227157528167,-1.2634505778081078,-1.8220166578909485,-1.585285228560629,49,49,0.5306122448979592,False,no cruza el umbral,corto
