hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,lado
tk_frac_24 alto | vol,22295,49.14106301861404,-2.108936981385952,0.9999999998573761,1.0,48.75443681896727,0.3866261996467699,-2.8333952451708697,-2.4936906007002833,49,49,0.46938775510204084,False,no cruza el umbral,largo
tam bajo,23120,49.11764705882353,-2.132352941176464,0.9999999999579849,1.0,49.22640405217542,-0.10875699335188926,-2.7031408075048162,-2.4197846181062204,49,49,0.46938775510204084,False,no cruza el umbral,largo
tk_frac bajo | vol,15714,49.0836197021764,-2.1663802978235935,0.9999999735135081,1.0,48.97836364921463,0.10525605296177076,-2.884841747318852,-2.5121732444900005,49,49,0.42857142857142855,False,no cruza el umbral,largo
v_h bajo | vol,22281,49.05076073784839,-2.1992392621516004,0.9999999999755562,1.0,49.79575265096186,-0.7449919131134664,-3.1292359827479856,-2.5701091228556834,49,49,0.5510204081632653,False,no cruza el umbral,largo
tam alto,18830,48.88475836431227,-2.365241635687724,0.9999999999600009,1.0,48.287009335297995,0.597749029014274,-3.29530087897227,-2.7809729700331687,49,49,0.4489795918367347,False,no cruza el umbral,largo
efic_h alto | vol,22566,48.856687051316136,-2.3933129486838567,0.9999999999996976,1.0,48.7619917249798,0.09469532633633548,-2.8249988701586233,-2.587352087519527,49,49,0.40816326530612246,False,no cruza el umbral,largo
efic_h alto,22652,48.785979162987815,-2.4640208370121783,0.999999999999944,1.0,48.76339481413351,0.02258434885430205,-2.878430049482674,-2.6442628418945873,49,49,0.40816326530612246,False,no cruza el umbral,largo
ac1_5m bajo | vol,19841,48.712262486769816,-2.5377375132301765,0.9999999999995923,1.0,48.70368205686603,0.00858042990378749,-3.211924907456371,-2.8337568663689083,49,48,0.4375,False,no cruza el umbral,largo
tk_frac bajo,31249,48.702358475471215,-2.5476415245287782,1.0,1.0,48.81384049082563,-0.1114820153544187,-3.0016079532469178,-2.7338129496402814,49,49,0.42857142857142855,False,no cruza el umbral,largo
efic_h_24 bajo,19936,48.625601926163725,-2.624398073836268,0.9999999999999416,1.0,48.31633009024337,0.3092718359203559,-3.260116444491274,-2.8831464430842004,49,49,0.42857142857142855,False,no cruza el umbral,largo
camino alto,23448,48.57130672125554,-2.678693278744454,0.9999999999999999,1.0,49.081406389181325,-0.5100996679257861,-2.9732307287555884,-2.79080887093307,49,49,0.4897959183673469,False,no cruza el umbral,largo
vr_h_24 bajo | vol,19928,48.55981533520675,-2.690184664793243,0.9999999999999858,1.0,48.771078913409625,-0.21126357820287467,-3.4057719054241957,-2.9935262560610667,49,49,0.42857142857142855,False,no cruza el umbral,largo
tk_frac alto | vol,21373,48.47237168390025,-2.7776283160997437,0.9999999999999998,1.0,48.64214043053865,-0.1697687466384039,-3.3132935744517056,-3.0922295701464293,49,49,0.4489795918367347,False,no cruza el umbral,largo
vr_h alto | vol,22744,48.44794231445656,-2.8020576855434314,1.0,1.0,48.698409220274044,-0.25046690581748265,-3.2839439655172384,-3.00255904639517,49,49,0.42857142857142855,False,no cruza el umbral,largo
