ranking,objetivo,semanas,spread,sd_sem,sem_ok,p,spread_crudo,atr_ratio,atr_propio,sin_top3,sin_top1,fdr_ok,veredicto
beta_T10 x d_T10 ~ sin roc_168,largo,194,-0.045309382751467536,1.8976893141007696,0.4690721649484536,1.0,-0.0014752696637530995,1.0697278653879676,0.8107870897005536,-0.13938165772467254,-0.0840569903616837,False,spread <= 0
beta_NDX x d_NDX,largo,194,-0.048464401633211994,2.625068873940295,0.422680412371134,1.0,-0.0029965311071966224,0.9863821497209445,0.813572039197104,-0.18065383687904243,-0.09888850645658862,False,spread <= 0
beta_T10 x d_T10,largo,194,-0.052715073964754396,2.049754974742445,0.4845360824742268,1.0,-0.0019949406339785283,1.085159367951078,0.8157686967602475,-0.15664979873524548,-0.10609752377118684,False,spread <= 0
beta_NDX,largo,195,-0.05690280794371246,2.1103678309636207,0.37948717948717947,1.0,-0.0008954128592143689,1.1321677907188332,0.80419364509919,-0.16535961373460656,-0.09147982976965499,False,spread <= 0
beta_ORO x d_ORO ~ sin roc_168 [bajo],largo,194,-0.06431791234333648,2.002680481054113,0.4690721649484536,1.0,0.0007763313591397894,1.057332168694601,0.8110650153927361,-0.13498070620376126,-0.09340675175170539,False,spread <= 0
beta_DXY x d_DXY,largo,194,-0.0875366225280967,2.0995847988204064,0.4639175257731959,1.0,0.00048383096952968427,1.0285426131262092,0.8154680440684474,-0.18343824419695398,-0.1260119465537362,False,spread <= 0
CONTROL azar 1,largo,203,-0.08887180475635686,2.0470685653709686,0.45320197044334976,1.0,-0.0026423247840046296,1.0092309527053107,0.8101588074335823,-0.1584399275920534,-0.1274996466082318,False,control
beta_ORO ~ sin roc_168 [bajo],largo,195,-0.0956585793608988,1.9940125118660752,0.4666666666666667,1.0,-0.0009868015076844186,1.0722145891040291,0.8228971645666796,-0.20476859147006204,-0.13679005351664547,False,spread <= 0
beta_ORO [bajo],largo,195,-0.10072216481548339,1.9972415665583192,0.4461538461538462,1.0,-0.001157234478485206,1.0726058002962737,0.8228971645666796,-0.25559817307691163,-0.16262189938627844,False,spread <= 0
CTRL atr_24,largo,203,-0.10173784634835593,2.732364892527683,0.4433497536945813,1.0,-0.0022186228303382456,1.766078985511015,1.1164223969756288,-0.28102221700478497,-0.16221700693990737,False,spread <= 0
beta_VIX x d_VIX [bajo],largo,195,-0.10850479980936577,2.224405222931716,0.48717948717948717,1.0,-0.0018985410298326768,0.9340747178614087,0.8001003669847204,-0.22104092554899127,-0.16099563249832904,False,spread <= 0
